Day,Volume Ξ,Floor Price Ξ
2021-07-29T00:00:00+00:00,160.34,5.388
2021-07-28T00:00:00+00:00,268.1379,6.025
2021-07-27T00:00:00+00:00,360.2541,6.096139999999999
2021-07-26T00:00:00+00:00,392.948,6.15
2021-07-25T00:00:00+00:00,363.95675,6.1543
2021-07-24T00:00:00+00:00,239.978525,6.2711
2021-07-23T00:00:00+00:00,336.4097,6.374140000000001
2021-07-22T00:00:00+00:00,293.37512233432849,6.1
2021-07-21T00:00:00+00:00,498.44660026958834,6.7
2021-07-20T00:00:00+00:00,441.6167,6.17595
2021-07-19T00:00:00+00:00,521.0962,6.2
2021-07-18T00:00:00+00:00,1092.262925,5.952
2021-07-17T00:00:00+00:00,2516.49955603654743,6.765000000000001
2021-07-16T00:00:00+00:00,2346.89851348982295,5.6739999999999995
2021-07-15T00:00:00+00:00,1882.52918703394547,4.9
2021-07-14T00:00:00+00:00,936.74698784508203,4.469
2021-07-13T00:00:00+00:00,847.41068126657191,3.989
2021-07-12T00:00:00+00:00,778.0039697244375,3.8
2021-07-11T00:00:00+00:00,656.29873164095240,3.5
2021-07-10T00:00:00+00:00,276.45237096591857,3.099
2021-07-09T00:00:00+00:00,238.77309794158966,3
2021-07-08T00:00:00+00:00,186.406,2.8
2021-07-07T00:00:00+00:00,191.5336,2.89
2021-07-06T00:00:00+00:00,181.92193315684677,2.8640000000000003
2021-07-05T00:00:00+00:00,175.5518,2.6796800000000003
2021-07-04T00:00:00+00:00,203.5583,2.6780000000000004
2021-07-03T00:00:00+00:00,120.0089,2.5356
2021-07-02T00:00:00+00:00,108.126,2.58
2021-07-01T00:00:00+00:00,234.05476363664368,2.56
2021-06-30T00:00:00+00:00,234.45032395024573,2.5
2021-06-29T00:00:00+00:00,298.85505542453776,2.52
2021-06-28T00:00:00+00:00,237.15282985926118,2.9909000000000003
2021-06-27T00:00:00+00:00,322.0440,2.982
2021-06-26T00:00:00+00:00,539.23470092236188,3.153
2021-06-25T00:00:00+00:00,543.5538,3.5
2021-06-24T00:00:00+00:00,658.00738187739300,3.392
2021-06-23T00:00:00+00:00,576.09165534400349,3.2909100000000002
2021-06-22T00:00:00+00:00,630.91118356137108,3.1950000000000003
2021-06-21T00:00:00+00:00,1515.84854989830658,3.2035
2021-06-20T00:00:00+00:00,2798.66128902014848,3.4
2021-06-19T00:00:00+00:00,1715.51149763960888,2.395
2021-06-18T00:00:00+00:00,896.69950862523153,1.9
2021-06-17T00:00:00+00:00,760.72405531730732,1.9
2021-06-16T00:00:00+00:00,512.6066999,1.8
2021-06-15T00:00:00+00:00,669.02743066300450,1.64
2021-06-14T00:00:00+00:00,241.11535575211007,1.5
2021-06-13T00:00:00+00:00,292.49589131509324,1.456
2021-06-12T00:00:00+00:00,188.7553,1.5
2021-06-11T00:00:00+00:00,291.90805887111111,1.4104999999999999
2021-06-10T00:00:00+00:00,284.25672268341086,1.3939599999999999
2021-06-09T00:00:00+00:00,400.58401258977573,1.546905759162304
2021-06-08T00:00:00+00:00,709.81720595961703,1.65
2021-06-07T00:00:00+00:00,1153.72104514364879,1.507
2021-06-06T00:00:00+00:00,585.68251242377172,1.184
2021-06-05T00:00:00+00:00,432.332270750725301,0.964
2021-06-04T00:00:00+00:00,158.572882738664678,0.75
2021-06-03T00:00:00+00:00,274.420884270588497,0.89
2021-06-02T00:00:00+00:00,399.153720012526219,0.9
2021-06-01T00:00:00+00:00,786.460350781861204,0.85
2021-05-31T00:00:00+00:00,513.586010980050144,0.725
2021-05-30T00:00:00+00:00,516.492146697711973,0.5
2021-05-29T00:00:00+00:00,96.076939312608876,0.39992
